facility_name,Facility ID,f_lng,f_lat
Allied Waste Niagara Falls Landfill,[32S11],-78.99093589,43.10270082
Auburn MRF,[06R10004],-76.58704817,42.95225788
Ava Landfill,[33LS0008],-75.41478393,43.45289898
Belgian Trucking & Excavating LLC,[20D12],-74.34216535,42.25775875
Blydenburgh Road Landfill Complex,[52D46],-73.1812316,40.81408818
Brookhaven Waste Management Facility,[52W131R],-72.92432977,40.79974341
Burton Clark C & D,[13D02],-74.95874302,42.25740433
City of Albany,[01S02],-73.84973952,42.70674008
Clinton County Landfill,[10S20],-73.59672777,44.69847136
Colonie (T) SWMF,[01S26],-73.73194513,42.81249769
Colonie RMW Transfer Station,[01V26],-73.73287057,42.80937375
Cortland County Landfill Westside Extension,[12LS0001],-76.06701266,42.63420529
Delaware County SWMF,[13M01],-75.05396472,42.16023868
Dunn C&D LF,[42D20],-73.72581545,42.64697421
Fulton County Landfill,[18R10008],-74.46975097,43.0082289
Gil Housel,[01D01],-73.94736369,42.74282703
Green Ridge RDF,[46S27],-73.60582585,43.20286077
High Acres Western Expansion Landfill,[28S32],-77.38438843,43.08572593
Madison County West Side Extension LF,[27LS0016],-75.70479479,43.03622924
Mill Seat SLF,[28S31],-77.93719623,43.05490891
Our Recycling,[52W204],-72.92626294,40.81549907
Seneca Meadows LF,[50S08],-76.84630399,42.92542444
Victor Insulators Inc,[35N01],-77.41590957,42.97526378
