facility_name,Facility ID,f_lng,f_lat
20 Arthur Avenue Associates LLC,[52W69R],-72.92788517,40.77613511
A.I.I. Allen Industries Inc (Oceanside Yard),[30W49R],-73.65408832,40.6226174
AL Blades-Hornell HMA Plant,[51W07],-77.68813921,42.37101105
All City Recycling LLC,[03W89],-73.91696431,40.80549689
All Island Mason Supply Inc,[52W144R],-73.28654234,40.87566621
Allocco Recycling Ltd (Kingsland Ave),[24WA3],-73.94365964,40.73160549
ALPCO Recycling; Inc.,[59CP0012],-77.33818502,43.09252371
ARG Services of WNY; Inc.,[37CP0001],-78.21127782,43.23894497
Ashpa Transfer LLC,[03W35],-73.88600435,40.80655334
ATLAS Roll-Off Corp,[24W43],-73.87402382,40.66084336
Barre Stone Products - Wilson Quarry,[37W02],-78.2125521,43.20532481
Belli Contracting Company Inc,[52W81R],-73.28252621,40.80143543
Bistrian Gravel Corp,[52W18],-72.17327805,40.98421753
Bistrian Materials Inc,[52W129R],-72.02930399,41.02323316
Bistrian Materials Inc (Montauk),[52W129R],-71.9568115,41.04330501
Bodkin Excavating Inc,[52W155R],-72.93851135,40.7746861
Bradley Farms,[08W01],-76.78190437,42.05734212
Brockport Quarry - IRP,[28C10022],-77.91548447,43.17460717
Brongo Supply Inc,[28C10017],-77.70981112,43.16523479
Bronx City Recycling (1390 Viele Ave),[03W88],-73.88027596,40.80738971
Brookhaven Waste Management Facility,[52W131R],-72.9304768,40.795323
Brooklyn C&D LLC,[24W36],-73.93667008,40.72433456
Cardo Site Development Storage Yard,[52C10272],-72.60757085,40.83714019
Castle Hill Recycling,[03W94],-73.84351739,40.82959276
CB Recycling,[52W86R],-73.39259441,40.72906537
Chesterfield Associates,[52W14R],-72.68426609,40.80823391
Chip It All,[52M10267],-73.06830928,40.93380206
City Recycling Corp,[24W26],-73.93224559,40.72482521
Con Edison - Fill Transfer Station #8,[31W13],-73.97470432,40.72965135
Cooper Recycling; LLC.,[24CP0089],-73.92757462,40.70968375
Corazzini Asphalt; Inc.,[52C10280],-72.49814736,41.031434
Crown Container Transfer Station,[41W50],-73.84355891,40.76026539
Crown Recycling Facility,[52W01],-72.71739371,40.94584278
Custom Earth Recycling LLC,[52W119R],-73.06830928,40.93380206
Cutchogue Materials and Recycling,[52W169R],-72.50185351,41.02590308
D'Agostino Brothers Enterprises Inc,[52W100R],-73.27050011,40.87010308
Daniel Finley Allen & Co Inc,[30M19],-73.56175513,40.75900685
DeChiaro Associates Corp. (Lot 2 & 2A),[52CP0246],-72.93162861,40.80937763
DeCostole Carting Inc,[24W41],-73.93432017,40.63626378
Dejana Industries Inc,[30W21R],-73.70439217,40.84002285
Dolomite Products Co Inc Penfield,[28W10],-77.48219255,43.14293864
Dolomite Products Co Inc. - Gates Quarry Recycle Plant,[28W01],-77.67822735,43.1501035
Dolomite Products Walworth Quarry,[59W06],-77.31769859,43.16886574
Dolomite-Manchester Quarry,[35W05],-77.17321737,42.94931742
Durante Bros Construction Corp.,[41W22],-73.84553954,40.76904133
Emil Norsic & Son Inc,[52W113],-72.41035149,40.90029732
Empire Recycling Services (Astoria Carting),[24W74],-73.93547181,40.72522436
Evergreen Recycling of Corona (Willets Point Blvd),[41W93],-73.84186173,40.75839265
Eversharp Recycling Inc,[30W47R],-73.63524618,40.86057464
Faztec Industries,[43W47],-74.18372747,40.61308985
Flag Container Services Inc,[43W13],-74.1318244,40.6410526
Framitz Inc,[30W22],-73.65327214,40.62204936
"G Frederico Wrecking Co., LLC",[28C10017],-77.70981112,43.16523479
GADS Inc,[24WF7],-73.92396891,40.7123167
Gershow Recycling of Freeport,[30CP0102],-73.57218282,40.64749674
Gershow Recycling of Valley Stream,[30W10],-73.69498197,40.66031868
Glenn O Hawbaker Inc Erwin Facility,[51C10014],-77.14954337,42.10370952
Globalsoft Environmental Inc,[28W16],-77.67479365,43.14778876
Great Northern Fibers Inc,[52T81],-73.38706199,40.73358232
Guillo Enterprises; Inc.,[52CP0239],-72.75173176,40.92603508
Hampton Sand Mining Corp,[52W33R],-72.70161536,40.8471959
Hololob Industries Inc.,[52M10302],-73.41288412,4.098874594
Horton Avenue Materials,[52W135R],-72.7002212,40.93919627
Hubbard Sand & Gravel Corp aka Northeast Recycling Corp,[52W96R],-73.26250805,40.75720378
Hunters Point Recycling Inc,[41MB1],-73.93907308,40.74077903
Inwood Material Terminal (IMT-Sheridan),[30W39R],-73.75353635,40.61079748
IROC Industries,[30W44R],-73.65895,40.63667307
Islandwide Recycling,[52W95R],-73.10373522,40.81090345
Izzo Brothers,[52W98R],-73.25900031,40.86879504
J & A Bruno; LLC,[43M27],-74.19383575,40.59923337
JD Recycling; Inc.,[03CP0073],-73.8843774,40.80671779
Jim Ski Construction,[52W193],-72.02263565,41.25583764
John Danna & Sons Inc,[03W18],-74.1060577,40.57343501
John T Montecalvo Inc,[52W07R],-72.69772731,40.84301095
Jos. M. Troffa Landscape and Mason Supply Inc,[52W142R],-73.08434183,40.93223207
JPD Masonry & Landscape Supply LLC,[52C10284],-73.42249323,40.74162093
Kenneth P Edwards,[52W31R],-73.26274652,40.7553247
Kurrass Materials Inc (East Patchogue Contracting Corp),[52W45R],-72.95985997,40.76627408
Lawton Adams Construction Corp,[60W11],-73.69360695,41.31090085
Liotta Brothers Recycling Corp,[30W08],-73.65189492,40.62057392
Long Island Electric Utility Servco LLC,[30XP0119],-73.51176935,40.76610198
Long Island Recycling Corp,[52W164R],-73.30589856,40.74609355
Lorric C&D Processing,[28W09],-77.82899098,43.2096092
LyDel Asphalt Corp,[52W170R],-72.93378037,40.77479061
Marcello Masonry,[52W175R],-72.33943227,41.07326248
Maspeth Recycling Inc,[41W39],-73.92243409,40.72600421
